Title,Difficulty,Language,Tags,Submission Time
Minimum Number of Operations to Make Elements in Array Distinct,Easy,python3,"Array, Hash Table",1754590896
Minimum Increment to Make Array Unique,Medium,python3,"Array, Greedy, Sorting, Counting",1754589057
01 Matrix,Medium,java,"Array, Dynamic Programming, Breadth-First Search, Matrix",1753162724
Find if Path Exists in Graph,Easy,java,"Depth-First Search, Breadth-First Search, Union Find, Graph",1753158533
Valid Parentheses,Easy,java,"String, Stack",1753007941
Maximum Depth of Binary Tree,Easy,java,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1753006719
Same Tree,Easy,java,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1753006120
Customers Who Never Order,Easy,mysql,Database,1752918612
Median of Two Sorted Arrays,Hard,java,"Array, Binary Search, Divide and Conquer",1752918229
Remove Duplicates from Sorted List,Easy,java,Linked List,1752916070
Middle of the Linked List,Easy,java,"Linked List, Two Pointers",1752857062
Reverse Linked List,Easy,java,"Linked List, Recursion",1752856386
Duplicate Emails,Easy,mysql,Database,1752750147
Combine Two Tables,Easy,mysql,Database,1752750134
Sqrt(x),Easy,java,"Math, Binary Search",1752749693
Implement Trie (Prefix Tree),Medium,java,"Hash Table, String, Design, Trie",1752748954
Is Graph Bipartite?,Medium,java,"Depth-First Search, Breadth-First Search, Union Find, Graph",1752646873
Binary Tree Postorder Traversal,Easy,java,"Stack, Tree, Depth-First Search, Binary Tree",1752639905
Binary Tree Inorder Traversal,Easy,java,"Stack, Tree, Depth-First Search, Binary Tree",1752639779
Binary Tree Right Side View,Medium,java,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1752639213
