Topic,Difficulty,Solved Count
Array,Easy,1
Hash Table,Easy,1
Array,Medium,2
Greedy,Medium,1
Sorting,Medium,1
Counting,Medium,1
Dynamic Programming,Medium,1
Breadth-First Search,Medium,3
Matrix,Medium,1
Depth-First Search,Easy,5
Breadth-First Search,Easy,3
Union Find,Easy,1
Graph,Easy,1
String,Easy,1
Stack,Easy,3
Tree,Easy,4
Binary Tree,Easy,4
Database,Easy,3
Array,Hard,1
Binary Search,Hard,1
Divide and Conquer,Hard,1
Linked List,Easy,3
Two Pointers,Easy,1
Recursion,Easy,1
Math,Easy,1
Binary Search,Easy,1
Hash Table,Medium,1
String,Medium,1
Design,Medium,1
Trie,Medium,1
Depth-First Search,Medium,2
Union Find,Medium,1
Graph,Medium,1
Tree,Medium,1
Binary Tree,Medium,1
